Product Name,Price (₹),Features,Category
SmartWatch Pro X,5999,"Heart rate monitor, sleep tracking, 7-day battery life",Electronics
Wireless Earbuds Lite,2499,"Bluetooth 5.3, 20-hour playtime, noise cancellation",Electronics
AniketPhone A1,14999,"6.5"" display, 128GB storage, dual camera, 5000mAh battery",Electronics
Gaming Laptop GX,69999,"Intel i7, RTX 3060, 16GB RAM, 512GB SSD",Electronics
Fitness Band Mini,1499,"Step counter, water resistant, USB direct charge",Wearables
Bluetooth Speaker Boom,3299,"360° sound, waterproof, 15-hour battery",Electronics
4K Smart TV 43”,29999,"Ultra HD, Android TV, voice control remote",Electronics
DSLR Camera ProShot,44999,"24MP, 4K video, Wi-Fi connectivity",Electronics
AniketBook E-Reader,7999,"8GB storage, e-ink display, adjustable brightness",Electronics
Portable Power Bank 20000mAh,1999,"Fast charging, dual USB, slim design",Electronics
AniketLaptop UltraBook,54999,"Intel i5, 8GB RAM, 512GB SSD, lightweight",Electronics
Wireless Keyboard & Mouse Combo,1299,"Silent keys, ergonomic design, USB receiver",Electronics
Smart Home Speaker Mini,3999,"Voice assistant, music streaming, smart device control",Electronics
Noise Cancelling Headphones Max,9499,"Over-ear, 40-hour battery, premium sound",Electronics
Gaming Console XPlay,39999,"1TB storage, 4K gaming, wireless controller",Electronics
Robot Vacuum Cleaner,18999,"Auto-clean, app control, HEPA filter",Home Appliances
Air Purifier FreshAir 300,10499,"HEPA filter, 3-speed modes, covers 500 sq ft",Home Appliances
Microwave Oven 25L,8999,"Grill & convection, digital controls, auto cook menu",Home Appliances
Mixer Grinder 750W,3499,"3 jars, stainless steel blades, overload protection",Home Appliances
Induction Cooktop SmartHeat,2299,"Touch panel, auto-off, 7 cooking modes",Home Appliances
Coffee Maker BrewMaster,4999,"12-cup capacity, auto shut-off, reusable filter",Home Appliances
Hair Dryer StylePro,1799,"3 heat settings, ionic technology, foldable",Beauty
Beard Trimmer Precision,999,"20 length settings, USB charging, washable blades",Beauty
Women’s Smart Hair Straightener,2499,"Ceramic plates, fast heating, digital display",Beauty
Perfume Aniket Essence,1499,"Long-lasting fragrance, 100ml bottle",Beauty
Organic Face Cream Glow+,899,"Paraben-free, aloe vera & vitamin C, 50g pack",Beauty
Backpack TravelMate,2199,"Laptop compartment, water-resistant, 30L capacity",Fashion
Men’s Running Shoes SprintX,2999,"Breathable mesh, cushioned sole, lightweight",Fashion
Women’s Handbag Luxe,3499,"PU leather, multiple compartments, elegant design",Fashion
Aniket Denim Jeans SlimFit,1799,"Stretchable fabric, mid-rise, classic blue",Fashion
Cotton T-Shirt Classic,599,"100% cotton, unisex fit, available in 5 colors",Fashion
Winter Jacket WarmPro,4499,"Waterproof, hooded, thermal lining",Fashion
Aniket Watch Classic Leather,3299,"Quartz movement, genuine leather strap, water resistant",Fashion
Office Chair ErgoComfort,7499,"Adjustable height, lumbar support, swivel wheels",Furniture
Study Desk Compact,5299,"Engineered wood, foldable design, storage shelf",Furniture
Bed Sheet Set (King Size),1299,"100% cotton, 3-piece set, machine washable",Home & Living
Sofa Set 3-Seater Luxe,19999,"Wooden frame, premium fabric, cushions included",Furniture
Dining Table Set 4-Seater,12999,"Solid wood, chairs included, modern design",Furniture
LED Study Lamp,899,"Adjustable brightness, USB charging, flexible neck",Home & Living
Ceiling Fan AirCool 1200mm,2399,"Energy efficient, 3-speed modes, noiseless",Home Appliances
Pressure Cooker 5L,1899,"Stainless steel, induction base, safety valve",Kitchen
Non-stick Cookware Set,3499,"3-piece set, scratch-resistant, PFOA free",Kitchen
Aniket Blender Juicer,2299,"500W motor, detachable jars, easy clean",Kitchen
Baby Stroller Comfort+,6499,"Lightweight, adjustable recline, safety harness",Baby Products
Toy Building Blocks Set,1299,"500 pieces, colorful, safe plastic",Toys
AniketBoard Game FunPlay,899,"Multiplayer, family-friendly, ages 6+",Toys
Children’s Story Book Set,1499,"10 books, colorful illustrations, hardcover",Books
Sports Cricket Kit Junior,3999,"Bat, pads, gloves, helmet, carry bag",Sports
Yoga Mat FlexiGrip,999,"Non-slip surface, 6mm thick, lightweight",Sports
Dumbbell Set 10kg,2499,"Adjustable weights, anti-rust coating",Sports
Electric Bicycle EcoRide,34999,"25km range, pedal assist, foldable frame",Sports
Helmet SafeRide,1499,"ISI certified, scratch-resistant visor, lightweight",Sports
Car Vacuum Cleaner,1799,"Portable, 120W motor, long cord",Automotive
Luggage Trolley 3-Piece Set,6999,"ABS hard shell, 360° wheels, TSA lock",Travel
Smart LED Bulb,699,"Wi-Fi enabled, color changing, app control",Electronics
Smart Refrigerator FrostFree 260L,28999,"Double door, inverter compressor, energy efficient",Home Appliances
Washing Machine WashPro 7kg,19999,"Front load, 1200 RPM, 15 wash programs",Home Appliances
Air Conditioner CoolBreeze 1.5 Ton,32999,"Inverter AC, 5-star rating, sleep mode",Home Appliances
Smartwatch Active Pro,7999,"GPS, heart rate, AMOLED display, 10-day battery",Wearables
Wireless Soundbar BassMax,8999,"120W output, HDMI ARC, Bluetooth 5.0",Electronics
Laptop Bag ProShield,1799,"Waterproof, padded laptop compartment, USB port",Fashion
Smart Microwave 30L,12999,"Voice control, auto-cook menu, grill mode",Home Appliances
Dishwasher CleanMate,24999,"12 place settings, 6 wash programs, energy efficient",Home Appliances
Electric Kettle QuickBoil,1299,"1.5L, auto shut-off, stainless steel body",Kitchen
Juicer ColdPress,7999,"Slow juicing, high nutrition retention, easy clean",Kitchen
Hair Straightener MaxHeat,1899,"Titanium plates, quick heat-up, temperature control",Beauty
Men’s Formal Shoes Classic,2599,"Genuine leather, slip-resistant sole, black",Fashion
Women’s Saree Silk Elegance,4999,"Pure silk, handwoven design, lightweight",Fashion
Kids’ Bicycle Speedy 20”,4999,"Steel frame, dual brakes, adjustable seat",Sports
Smart Lock SecureX,8999,"Fingerprint unlock, mobile app, PIN access",Home & Living
Smart Thermostat ClimatePro,12999,"Wi-Fi enabled, voice control, energy saving",Home Appliances
Tablet TabMate 10.1”,19999,"64GB storage, 8MP camera, 7000mAh battery",Electronics
Portable Projector CineMax,15999,"1080p HD, HDMI/USB input, 200-inch screen",Electronics
VR Headset ImmersiveX,9999,"4K display, motion tracking, lightweight design",Electronics
Drone SkyCam 4K,24999,"GPS, 4K camera, 30 min flight time",Electronics
Smart Glasses VisionX,12999,"AR display, Bluetooth audio, lightweight",Electronics
Robot Pet Buddy,15999,"Interactive, voice commands, rechargeable",Toys
Baby Cot Wooden Comfort,7999,"Teak wood, foldable, mattress included",Baby Products
E-book Subscription 1 Year,4999,"Access to 10,000+ books, offline mode",Books
Smart Doorbell RingMate,7999,"HD camera, two-way audio, motion alerts",Home & Living
Kitchen Chimney SmokeFree,12999,"Auto-clean, touch control, 1200 m³/hr suction",Kitchen
Water Purifier PureGuard,10999,"RO+UV+UF, 7L tank, mineralizer",Home Appliances
Vacuum Cleaner Handheld,5999,"Cordless, 40 min runtime, lightweight",Home Appliances
Men’s Leather Wallet Slim,999,"Genuine leather, RFID protected, 6 card slots",Fashion
Women’s Earrings Sparkle,1299,"Sterling silver, cubic zirconia, lightweight",Fashion
Fitness Treadmill RunX,34999,"2HP motor, foldable, 12 programs",Sports
Elliptical Cross Trainer,24999,"Magnetic resistance, LCD display, 8 levels",Sports
Camping Tent 4-Person,5999,"Waterproof, easy setup, lightweight",Travel
Sleeping Bag WarmX,2499,"Comfortable, all-weather, compact",Travel
Electric Scooter GlideX,49999,"80km range, lithium battery, foldable",Automotive
Smart Helmet RideSafe,3999,"Bluetooth, hands-free calls, LED lights",Automotive
Car Air Purifier DriveFresh,3499,"HEPA filter, USB powered, compact",Automotive
Board Game StrategyX,1999,"2–6 players, family-friendly, ages 8+",Toys
Musical Keyboard PlayPro,9999,"61 keys, recording function, USB support",Toys
Acoustic Guitar MelodyX,5999,"Wooden body, 6-string, gig bag included",Music
Smart Scale FitTrack,2499,"Body fat analyzer, BMI tracking, app sync",Fitness
Protein Supplement Pack,3999,"1kg whey protein, chocolate flavor",Health
Herbal Tea Set,1299,"5 flavors, organic ingredients, 100 tea bags",Food & Beverages
Non-stick Frying Pan 28cm,1499,"Aluminum body, induction compatible, PFOA free",Kitchen
Rice Cooker AutoCook 2L,2999,"Automatic cooking, keep-warm function",Kitchen
Water Bottle SteelMate 1L,999,"Insulated, stainless steel, 24h hot/cold",Home & Living
Floor Lamp DecoLight,3499,"Modern design, adjustable height, LED bulb",Home & Living
Wall Clock Classic,1299,"Silent sweep, wooden frame, 12-inch diameter",Home & Living
